,Events | Median (HLA DR-FITC),Events | Median (CD117-PE),Events | Median (CD45-ECD),Events | Median (CD34-PC5),Events | Median (CD38-PC7),Events | Median (FS Lin),Events | Median (SS Log),
UP00_000713_006.LMD,1022,1022,9036,637,1022,7.70E5,9727,
UP00_000755_006.LMD,953,782,1022,494,1022,5.80E5,18192,
UP00_000765_006.LMD,1022,1022,1022,4264,1022,4.55E5,3902,
UP00_000715_006.LMD,1022,930,1022,3752,340,396211,3204,
UP00_000008_006.LMD,1022,1022,1022,676,1022,6.19E5,6921,
UP00_000769_006.LMD,921,1022,1022,324,1022,6.05E5,5662,
UP00_000782_006.LMD,1022,1022,1022,509,1022,5.62E5,6587,
UP00_000767_006.LMD,265,1022,1022,3513,1022,5.91E5,4342,
UP00_000087_006.LMD,907,438,1022,159,464,4.30E5,4373,
UP00_000217_006.LMD,820,946,1022,90.3,1022,5.63E5,6254,
UP00_000373_006.LMD,1022,1022,1022,316,1022,5.73E5,5783,
UP00_000522_006.LMD,1022,1022,1022,140,1022,393677,4266,
UP00_000710_006.LMD,1022,1022,1022,1035,1022,4.95E5,7710,
UP00_000571_006.LMD,1022,1022,1022,389,1022,8.19E5,13505,
UP00_000759_006.LMD,1022,1022,1022,708,1022,5.10E5,5177,
UP00_000743_006.LMD,1022,1022,1022,684,1022,6.35E5,8848,
UP00_000754_006.LMD,855,759,1022,280,1022,7.79E5,16918,
UP00_000787_006.LMD,269,351,1022,62.2,1022,4.24E5,3174,
UP00_000748_006.LMD,1022,1022,1022,4576,1022,5.18E5,4206,
UP00_000637_006.LMD,1022,650,1022,5933,1022,4.82E5,4190,
fi06-000582_006.LMD,1022,1022,1022,8590,1022,5.41E5,4206,
UP00_000059_006.LMD,1015,775,1022,190,1022,6.52E5,8666,
fi06-000720_006.LMD,1022,1022,1022,4797,1022,7.96E5,8104,
UP00_000401_006.LMD,1022,865,21811,410,1022,7.29E5,7634,
UP00_000716_006.LMD,1022,1022,1022,4854,1022,6.61E5,5586,
UP00_000617_006.LMD,1022,1022,1022,378,1022,5.97E5,5268,
UP00_000746_006.LMD,1022,1022,1022,1010,1022,4.81E5,4069,
UP00_000204_006.LMD,1022,509,1022,951,619,4.70E5,3462,
UP00_000003_006.LMD,1022,1022,1022,4372,1022,5.67E5,5313,
UP00_000764_006.LMD,1022,547,1022,576,1022,4.64E5,4524,
UP00_000510_006.LMD,1022,809,1022,207,1022,5.79E5,9212,
UP00_000466_006.LMD,1022,294,1022,370,1022,4.23E5,3083,
UP00_000644_006.LMD,517,1022,1022,137,1022,5.11E5,4448,
UP00_000729_006.LMD,1022,489,1022,12.1,1022,5.45E5,7376,
UP00_000269_006.LMD,1022,1022,1022,737,1022,5.80E5,5268,
UP00_000726_006.LMD,778,1022,1022,957,1022,6.25E5,3978,
UP00_000363_006.LMD,1022,240,1022,17301,1022,5.09E5,3796,
UP00_000745_006.LMD,1022,1022,1022,7076,1022,6.44E5,5404,
UP00_000721_006.LMD,1022,1022,1022,380,1022,5.65E5,5723,
UP00_000320_006.LMD,1022,0.10,1022,154,571,4.41E5,3098,
UP00_000515_006.LMD,1022,341,1022,292,1022,4.80E5,3978,
UP00_000757_006.LMD,1022,1022,1022,549,1022,7.82E5,10213,
UP00_000409_006.LMD,1022,573,24235,320,1022,5.26E5,5404,
Mean,954,834,2232,1934,973,5.67E5,6297,
SD,180,280,4812,3228,157,111344,3370,
