,Events | Median (HLA-DR-FITC),Events | Median (CD117-PE),Events | Median (CD45-ECD),Events | Median (CD34-PC5),Events | Median (CD38-PC7),Events | Median (FS Lin),Events | Median (SS Log),
UP00_000399_006.LMD,463,318,17966,262,1022,7.53E5,18799,
UP00_000376_006.LMD,1022,938,1022,225,899,7.13E5,16948,
UP00_000214_006.LMD,1022,581,1022,205,1022,7.07E5,21954,
UP00_000511_006.LMD,605,523,1022,197,1022,7.10E5,22000,
UP00_000384_006.LMD,1022,846,1022,227,1022,6.66E5,20923,
UP00_000605_006.LMD,1022,966,1022,329,1022,7.88E5,17934,
UP00_000455_006.LMD,812,620,1022,195,979,7.75E5,15962,
UP00_000636_006.LMD,1022,1022,1022,417,606,7.11E5,18844,
UP00_000194_006.LMD,1022,520,1022,264,1022,7.43E5,14339,
UP00_000348_006.LMD,724,532,1022,255,1022,7.92E5,18951,
UP00_000156_006.LMD,833,380,1022,247,318,8.56E5,15477,
UP00_000503_006.LMD,1022,653,1022,312,1022,6.76E5,17343,
UP00_000199_006.LMD,1022,464,1022,181,1022,7.41E5,18951,
UP00_000165_006.LMD,1022,573,1022,232,357,7.18E5,17934,
UP00_000627_006.LMD,656,459,1022,229,513,6.81E5,15128,
UP00_000231_006.LMD,777,433,1022,214,1022,7.75E5,19072,
fi06-000177_006.LMD,1022,992,1022,359,1022,6.55E5,20741,
UP00_000162_006.LMD,736,491,1022,274,604,8.00E5,13459,
UP00_000661_006.LMD,663,598,1022,60.1,979,6.88E5,15173,
UP00_000626_006.LMD,1022,986,1022,287,1022,8.34E5,20892,
UP00_000428_006.LMD,1022,723,1022,270,1022,7.56E5,23775,
UP00_000559_006.LMD,1022,771,1022,452,1022,7.45E5,19133,
UP00_000450_006.LMD,692,1022,1022,323,940,7.78E5,20392,
UP00_000554_006.LMD,1022,782,1022,129,833,6.96E5,16357,
UP00_000265_006.LMD,721,493,1022,266,1022,7.24E5,23289,
UP00_000414_006.LMD,724,360,1022,470,1022,7.29E5,14916,
fi06-000244_006.LMD,471,210,1022,227,314,5.80E5,9439,
UP00_000304_006.LMD,1022,1022,1022,237,1022,7.27E5,18147,
UP00_000073_006.LMD,1022,879,1022,301,1022,7.95E5,19542,
UP00_000297_006.LMD,1022,405,1022,148,1022,6.46E5,16857,
UP00_000065_006.LMD,1022,992,1022,280,1022,7.17E5,22910,
UP00_000551_006.LMD,1022,1022,1022,492,1022,7.10E5,17767,
UP00_000101_006.LMD,1022,702,1022,293,1022,8.00E5,17783,
UP00_000378_006.LMD,831,455,1022,300,1022,7.70E5,15310,
fi06-000049_006.LMD,1022,1022,1022,306,1022,6.58E5,22152,
UP00_000388_006.LMD,1022,644,1022,253,1022,6.30E5,16175,
UP00_000176_006.LMD,1022,577,1022,228,677,6.71E5,15067,
UP00_000295_006.LMD,1022,563,1022,462,1022,7.29E5,14885,
UP00_000043_006.LMD,1022,766,1022,234,1022,6.81E5,20331,
UP00_000430_006.LMD,754,419,1022,232,1022,6.70E5,19573,
UP00_000438_006.LMD,659,174,1022,86.7,723,4.66E5,4646,
UP00_000629_006.LMD,652,699,1022,269,1022,7.85E5,23198,
UP00_000657_006.LMD,1022,768,1022,251,1022,7.50E5,17995,
UP00_000415_006.LMD,970,626,15371,279,1022,7.50E5,21241,
UP00_000311_006.LMD,1022,457,1022,214,909,7.08E5,16994,
UP00_000015_006.LMD,1022,848,1022,430,1022,7.27E5,21666,
UP00_000179_006.LMD,1022,736,1022,206,612,7.05E5,19224,
UP00_000270_006.LMD,911,493,1022,285,1022,7.03E5,15932,
UP00_000329_006.LMD,944,585,1022,351,683,7.89E5,16675,
UP00_000254_006.LMD,1022,949,1022,226,1022,7.17E5,20695,
UP00_000226_006.LMD,1022,605,1022,215,1022,7.64E5,23047,
UP00_000416_006.LMD,1022,708,10083,297,1022,7.83E5,21014,
UP00_000354_006.LMD,1022,569,1022,355,1022,5.05E5,11108,
UP00_000099_006.LMD,1022,1003,1022,272,1022,7.07E5,22470,
UP00_000318_006.LMD,1022,1022,1022,223,1003,8.13E5,22106,
UP00_000105_006.LMD,946,566,1022,233,842,7.54E5,17054,
UP00_000138_006.LMD,1022,563,1022,243,1022,8.10E5,23138,
UP00_000317_006.LMD,1022,726,1022,155,1022,7.08E5,20574,
UP00_000332_006.LMD,1022,736,1022,260,1022,8.13E5,19740,
UP00_000327_006.LMD,1022,515,1022,229,1006,6.52E5,13019,
UP00_000025_006.LMD,801,553,1022,210,1022,7.20E5,21818,
fi06-000433_006.LMD,1022,913,1022,323,1022,7.83E5,18101,
UP00_000355_006.LMD,1022,789,1022,297,1022,7.48E5,18056,
UP00_000056_006.LMD,1022,653,1022,176,1022,7.59E5,19967,
UP00_000585_006.LMD,1022,1022,1022,268,1022,7.67E5,17070,
UP00_000478_006.LMD,846,522,1022,333,1022,7.63E5,16478,
UP00_000519_006.LMD,530,280,1022,350,742,7.70E5,13353,
UP00_000509_006.LMD,1022,836,1022,218,1022,7.56E5,17767,
UP00_000343_006.LMD,1022,798,1022,211,1022,8.01E5,22789,
UP00_000374_006.LMD,1022,778,1022,291,1022,7.34E5,20528,
UP00_000620_006.LMD,905,846,1022,281,1022,8.39E5,22334,
UP00_000157_006.LMD,494,535,1022,212,604,7.09E5,19375,
UP00_000186_006.LMD,1022,903,1022,288,689,7.66E5,16493,
UP00_000744_006.LMD,716,485,1022,183,1022,6.16E5,13095,
UP00_000248_006.LMD,624,434,1022,188,983,7.22E5,18602,
UP00_000276_006.LMD,966,532,1022,272,1022,8.20E5,13034,
UP00_000696_006.LMD,1022,820,1022,204,1022,7.66E5,18223,
UP00_000253_006.LMD,1022,810,1022,181,1006,6.69E5,19133,
UP00_000091_006.LMD,1022,791,1022,393,1022,7.43E5,16963,
UP00_000078_006.LMD,561,593,1022,163,1022,7.15E5,19072,
UP00_000460_006.LMD,1022,1022,1022,319,1022,6.50E5,19269,
UP00_000121_006.LMD,1022,499,1022,178,535,8.10E5,21666,
UP00_000420_006.LMD,852,429,15898,214,1022,7.05E5,17510,
UP00_000497_006.LMD,940,578,1022,212,1022,8.12E5,22789,
UP00_000421_006.LMD,619,476,1022,253,1022,7.37E5,18587,
UP00_000751_006.LMD,1022,1022,1022,420,577,7.32E5,17358,
UP00_000052_006.LMD,707,549,1022,340,1022,7.63E5,17024,
UP00_000100_006.LMD,1022,905,1022,235,1022,7.23E5,21727,
UP00_000403_006.LMD,626,367,1022,386,964,7.48E5,15249,
UP00_000210_006.LMD,448,252,1022,63.3,951,6.19E5,17828,
UP00_000282_006.LMD,1022,789,1022,366,1022,7.89E5,15628,
UP00_000150_006.LMD,1022,718,1022,190,1022,7.37E5,19284,
fi05-001597_006.LMD,1022,791,1022,336,1022,8.72E5,18374,
UP00_000067_006.LMD,1022,766,1022,335,1022,7.80E5,18860,
UP00_000392_006.LMD,553,472,1022,207,1022,6.98E5,19284,
UP00_000182_006.LMD,1022,643,1022,186,773,7.26E5,18844,
UP00_000564_006.LMD,768,568,1022,238,1022,7.59E5,17980,
UP00_000372_006.LMD,1022,879,1022,363,1022,7.88E5,19588,
UP00_000051_006.LMD,731,526,1022,201,1022,7.76E5,18784,
UP00_000400_006.LMD,708,342,1022,557,1022,7.01E5,15234,
UP00_000365_006.LMD,846,555,1022,233,1022,5.95E5,24518,
UP00_000249_006.LMD,800,547,1022,197,1022,7.08E5,17676,
UP00_000223_006.LMD,629,430,1022,260,1022,7.59E5,21909,
UP00_000552_006.LMD,1022,1022,1022,481,1022,7.13E5,20346,
UP00_000763_006.LMD,907,655,1022,322,1022,7.58E5,16721,
UP00_000029_006.LMD,857,634,1022,277,1022,7.17E5,17145,
UP00_000319_006.LMD,1022,836,1022,221,1022,8.31E5,23866,
UP00_000785_006.LMD,1022,1022,1022,328,1008,6.15E5,13201,
UP00_000240_006.LMD,794,236,1022,48.9,1022,4.44E5,4630,
UP00_000412_006.LMD,1022,1022,14674,337,1022,7.90E5,22303,
